iter	RMSE
0	6.366993722
1	6.209355638
2	6.055268765
3	5.912506911
4	5.77092312
5	5.631047055
6	5.494773816
7	5.368714891
8	5.244084636
9	5.120497699
10	4.999665366
11	4.881564948
12	4.771266791
13	4.662557214
14	4.555606478
15	4.451514742
16	4.352361481
17	4.256858705
18	4.160180612
19	4.069541217
20	3.980627952
21	3.895596864
22	3.811699074
23	3.72893882
24	3.651193487
25	3.575452636
26	3.49985269
27	3.42957153
28	3.362193854
29	3.2955155
30	3.230159276
31	3.167232306
32	3.107049334
33	3.04690971
34	2.989250413
35	2.935880618
36	2.883338036
37	2.831811792
38	2.782482208
39	2.733975353
40	2.688538095
41	2.645651065
42	2.60150517
43	2.561084403
44	2.520054468
45	2.479723267
46	2.441666333
47	2.405328241
48	2.369906976
49	2.336617115
50	2.30377455
51	2.272022687
52	2.240809564
53	2.212147823
54	2.186020021
55	2.158723885
56	2.131683363
57	2.105883472
58	2.08195554
59	2.058133344
60	2.035969044
61	2.01354227
62	1.99198009
63	1.971646162
64	1.952330325
65	1.93289122
66	1.91443154
67	1.897003659
68	1.880381947
69	1.863686157
70	1.84748218
71	1.832228262
72	1.81723617
73	1.803388647
74	1.789094802
75	1.77557973
76	1.76299338
77	1.750540006
78	1.738069564
79	1.72603584
80	1.714477185
81	1.703503175
82	1.692152182
83	1.681454308
84	1.671056708
85	1.661751707
86	1.652858464
87	1.643645629
88	1.63504866
89	1.627196532
90	1.618525083
91	1.61096708
92	1.603076467
93	1.596456537
94	1.589507944
95	1.581596117
96	1.575181355
97	1.568605821
98	1.562666377
99	1.556305065
100	1.550039158
101	1.544918862
102	1.539272533
103	1.533465871
104	1.528624777
105	1.522452259
106	1.517795114
107	1.512446336
108	1.50752071
109	1.502368841
110	1.498517426
111	1.493700794
112	1.488964995
113	1.484908251
114	1.480582631
115	1.47593213
116	1.470817604
117	1.466305608
118	1.461729504
119	1.457658515
120	1.453412776
121	1.450109388
122	1.446037802
123	1.442783317
124	1.438822682
125	1.434541879
126	1.430826019
127	1.427962685
128	1.423581057
129	1.420855217
130	1.41697962
131	1.413565162
132	1.410715123
133	1.407823435
134	1.40512246
135	1.40221596
136	1.398968907
137	1.396648865
138	1.393984749
139	1.390829699
140	1.38828476
141	1.38566371
142	1.382821861
143	1.379900597
144	1.377005676
145	1.375033036
146	1.372483354
147	1.370730038
148	1.368010019
149	1.365522858
150	1.362763028
151	1.359903117
152	1.357924945
153	1.355494381
154	1.353074772
155	1.350014706
156	1.347621344
157	1.345426199
158	1.342895486
159	1.340655878
