iter	Passed	Remaining
0	143	311380
1	155	168925
2	167	121121
3	180	97815
4	193	83865
5	205	74266
6	219	68105
7	234	63504
8	247	59539
9	260	56461
10	276	54464
11	291	52578
12	306	50877
13	319	49327
14	334	48171
15	347	46886
16	361	45904
17	376	45048
18	389	44147
19	401	43239
20	414	42531
21	428	41925
22	441	41299
23	454	40759
24	469	40327
25	482	39886
26	497	39550
27	512	39309
28	526	38935
29	539	38558
30	553	38250
31	566	37935
32	580	37640
33	594	37420
34	607	37149
35	621	36931
36	635	36680
37	649	36531
38	662	36279
39	675	36040
40	689	35858
41	701	35611
42	713	35351
43	726	35163
44	739	34969
45	769	35584
46	780	35324
47	791	35073
48	806	34987
49	819	34821
50	833	34690
51	846	34530
52	858	34343
53	880	34560
54	892	34389
55	905	34255
56	918	34111
57	930	33960
58	942	33801
59	957	33751
60	971	33659
61	985	33557
62	998	33463
63	1012	33367
64	1025	33268
65	1037	33146
66	1052	33083
67	1066	33029
68	1079	32939
69	1092	32833
70	1104	32723
71	1117	32631
72	1130	32543
73	1144	32472
74	1157	32385
75	1170	32306
76	1185	32290
77	1201	32288
78	1217	32294
79	1234	32310
80	1251	32332
81	1267	32324
82	1283	32328
83	1299	32334
84	1316	32366
85	1331	32329
86	1347	32317
87	1362	32294
88	1375	32218
89	1387	32119
90	1398	32011
91	1410	31913
92	1422	31837
93	1435	31757
94	1447	31670
95	1460	31610
96	1473	31558
97	1486	31488
98	1499	31424
99	1512	31376
100	1526	31328
101	1539	31270
102	1553	31241
103	1565	31167
104	1580	31134
105	1593	31082
106	1605	31023
107	1617	30950
108	1629	30873
109	1642	30815
110	1655	30759
111	1667	30704
112	1679	30625
113	1691	30567
114	1705	30530
115	1718	30487
116	1731	30450
117	1744	30399
118	1758	30371
119	1771	30323
120	1784	30282
121	1797	30238
122	1811	30206
123	1825	30171
124	1840	30161
125	1854	30134
126	1866	30081
127	1877	30015
128	1891	29978
129	1903	29921
130	1915	29879
131	1927	29823
132	1939	29769
133	1953	29736
134	1966	29694
135	1979	29668
136	1992	29624
137	2005	29590
138	2019	29563
139	2033	29543
140	2046	29502
141	2058	29463
142	2073	29456
143	2087	29434
144	2101	29410
145	2114	29367
146	2126	29321
147	2139	29282
148	2152	29247
149	2163	29199
150	2175	29145
151	2188	29116
152	2200	29073
153	2213	29037
154	2227	29008
155	2240	28976
156	2255	28971
157	2269	28953
158	2283	28932
159	2297	28920
160	2310	28891
161	2323	28856
162	2337	28837
163	2349	28800
164	2363	28775
165	2376	28741
166	2388	28709
167	2403	28698
168	2417	28681
169	2440	28765
170	2452	28729
171	2466	28706
172	2479	28675
173	2491	28640
174	2504	28604
175	2518	28586
176	2531	28559
177	2544	28532
178	2557	28499
179	2570	28470
180	2585	28463
181	2599	28448
182	2612	28423
183	2626	28403
184	2640	28388
185	2656	28394
186	2668	28358
187	2682	28336
188	2695	28306
189	2707	28273
190	2720	28241
191	2734	28229
192	2748	28208
193	2761	28184
194	2775	28164
195	2788	28137
196	2801	28112
197	2814	28088
198	2828	28070
199	2841	28046
200	2854	28016
201	2867	27989
202	2881	27973
203	2894	27950
204	2908	27938
205	2924	27936
206	2936	27906
207	2948	27872
